totalIterations;numWorkers;Duree;Pi;Error
100000000;1;3239;3.1415420400;0.0000161108
100000000;1;3251;3.1416958000;0.0000328325
100000000;1;3236;3.1415548400;0.0000120364
100000000;1;3233;3.1417420000;0.0000475384
100000000;1;3225;3.1416208000;0.0000089593
100000000;1;3425;3.1417522800;0.0000508107
100000000;1;3257;3.1416109200;0.0000058144
100000000;1;3251;3.1416688800;0.0000242636
100000000;1;3246;3.1417282000;0.0000431458
100000000;1;3227;3.1414628400;0.0000413209
100000000;1;3223;3.1415479600;0.0000142264
100000000;1;3227;3.1415214000;0.0000226807
100000000;1;3228;3.1419103200;0.0001011164
100000000;1;3224;3.1414577200;0.0000429507
100000000;1;3254;3.1414237600;0.0000537605
200000000;2;3375;3.1416762000;0.0000265936
200000000;2;3310;3.1417121600;0.0000380401
200000000;2;3302;3.1418572800;0.0000842332
200000000;2;3311;3.1415497400;0.0000136598
200000000;2;3313;3.1415475400;0.0000143601
200000000;2;3310;3.1416755200;0.0000263772
200000000;2;3326;3.1415385800;0.0000172122
200000000;2;3314;3.1416381400;0.0000144788
200000000;2;3307;3.1415925000;0.0000000489
200000000;2;3309;3.1417120600;0.0000380082
200000000;2;3354;3.1415731400;0.0000062114
200000000;2;3325;3.1415294200;0.0000201279
200000000;2;3299;3.1418042000;0.0000673373
200000000;2;3301;3.1415058200;0.0000276400
200000000;2;3303;3.1418683200;0.0000877473
300000000;3;3390;3.1416529333;0.0000191876
300000000;3;3365;3.1416324133;0.0000126559
300000000;3;3361;3.1416432667;0.0000161106
300000000;3;3384;3.1414796667;0.0000359649
300000000;3;3369;3.1415856267;0.0000022367
300000000;3;3367;3.1415527467;0.0000127028
300000000;3;3362;3.1416239333;0.0000099567
300000000;3;3380;3.1415847733;0.0000025084
300000000;3;3383;3.1415614933;0.0000099186
300000000;3;3366;3.1417403867;0.0000470249
300000000;3;3367;3.1416268267;0.0000108776
300000000;3;3366;3.1415603200;0.0000102921
300000000;3;3388;3.1416442267;0.0000164162
300000000;3;3372;3.1413787200;0.0000680972
300000000;3;3362;3.1414268000;0.0000527928
400000000;4;3374;3.1415850400;0.0000024235
400000000;4;3399;3.1415380100;0.0000173936
400000000;4;3379;3.1415355000;0.0000181926
400000000;4;3376;3.1415700400;0.0000071981
400000000;4;3381;3.1414549000;0.0000438483
400000000;4;3395;3.1415008600;0.0000292188
400000000;4;3378;3.1415942400;0.0000005050
400000000;4;3383;3.1415289000;0.0000202934
400000000;4;3382;3.1417072700;0.0000364835
400000000;4;3423;3.1414543100;0.0000440361
400000000;4;3376;3.1415813500;0.0000035980
400000000;4;3398;3.1415725600;0.0000063960
400000000;4;3393;3.1416820600;0.0000284589
400000000;4;3380;3.1415433200;0.0000157034
400000000;4;3396;3.1416412400;0.0000154655
500000000;5;3388;3.1416602240;0.0000215083
500000000;5;3400;3.1415634560;0.0000092939
500000000;5;3391;3.1415126320;0.0000254717
500000000;5;3448;3.1415041680;0.0000281658
500000000;5;3403;3.1416274800;0.0000110856
500000000;5;3468;3.1415423360;0.0000160166
500000000;5;3405;3.1416332000;0.0000129063
500000000;5;3427;3.1415718640;0.0000066175
500000000;5;3397;3.1416206720;0.0000089185
500000000;5;3406;3.1415588800;0.0000107505
500000000;5;3392;3.1415525840;0.0000127545
500000000;5;3456;3.1415611360;0.0000100324
500000000;5;3400;3.1416252160;0.0000103649
500000000;5;3392;3.1416509680;0.0000185621
500000000;5;3399;3.1416580000;0.0000208004
600000000;6;3554;3.1415028000;0.0000286013
600000000;6;3528;3.1415836933;0.0000028521
600000000;6;3453;3.1416212733;0.0000091099
600000000;6;3639;3.1416525667;0.0000190709
600000000;6;3539;3.1416527800;0.0000191388
600000000;6;3492;3.1415926600;0.0000000020
600000000;6;3524;3.1416613200;0.0000218572
600000000;6;3458;3.1415578733;0.0000110709
600000000;6;4178;3.1414862133;0.0000338810
600000000;6;3642;3.1414989600;0.0000298236
600000000;6;3602;3.1415342333;0.0000185957
600000000;6;3508;3.1416311667;0.0000122591
600000000;6;3539;3.1415633800;0.0000093181
600000000;6;3517;3.1415093600;0.0000265132
600000000;6;3571;3.1415248200;0.0000215921
700000000;7;3776;3.1415703543;0.0000070981
700000000;7;3846;3.1415559714;0.0000116763
700000000;7;3845;3.1415616171;0.0000098792
700000000;7;3932;3.1415760000;0.0000053010
700000000;7;3774;3.1416790114;0.0000274886
700000000;7;3893;3.1415725257;0.0000064069
700000000;7;3782;3.1415760514;0.0000052846
700000000;7;3777;3.1416113371;0.0000059472
700000000;7;3817;3.1414614286;0.0000417702
700000000;7;3823;3.1415176457;0.0000238757
700000000;7;3796;3.1415485257;0.0000140463
700000000;7;3825;3.1416621143;0.0000221100
700000000;7;3760;3.1416061200;0.0000042865
700000000;7;3806;3.1415951771;0.0000008033
700000000;7;3783;3.1415935543;0.0000002867
800000000;8;4022;3.1416287600;0.0000114930
800000000;8;4164;3.1415390050;0.0000170769
800000000;8;3980;3.1415478750;0.0000142535
800000000;8;4033;3.1415067000;0.0000273599
800000000;8;4004;3.1415738750;0.0000059774
800000000;8;4016;3.1416534950;0.0000193664
800000000;8;3969;3.1416162550;0.0000075126
800000000;8;4207;3.1416658250;0.0000232912
800000000;8;3927;3.1415997500;0.0000022589
800000000;8;4003;3.1415983500;0.0000018132
800000000;8;4139;3.1415472650;0.0000144476
800000000;8;3929;3.1415840400;0.0000027418
800000000;8;4002;3.1415518150;0.0000129993
800000000;8;4066;3.1415800000;0.0000040278
800000000;8;3933;3.1415597200;0.0000104831
