totalIterations;numWorkers;Duree;Pi;Error
10000000;1;326;3.1413328000;0.0000827140
10000000;1;330;3.1412308000;0.0001151816
10000000;1;324;3.1407740000;0.0002605855
10000000;1;323;3.1414708000;0.0000387872
10000000;1;325;3.1412576000;0.0001066509
10000000;1;322;3.1414892000;0.0000329303
10000000;1;328;3.1416712000;0.0000250021
10000000;1;324;3.1424232000;0.0002643711
10000000;1;324;3.1419812000;0.0001236782
10000000;1;326;3.1410084000;0.0001859737
10000000;1;324;3.1417036000;0.0000353153
10000000;1;327;3.1407708000;0.0002616041
10000000;1;325;3.1416560000;0.0000201638
10000000;1;324;3.1420428000;0.0001432861
10000000;1;324;3.1420908000;0.0001585649
10000000;2;182;3.1417356000;0.0000455013
10000000;2;179;3.1414492000;0.0000456627
10000000;2;176;3.1406720000;0.0002930531
10000000;2;178;3.1419320000;0.0001080173
10000000;2;174;3.1413336000;0.0000824593
10000000;2;176;3.1408540000;0.0002351207
10000000;2;179;3.1410292000;0.0001793528
10000000;2;174;3.1427588000;0.0003711959
10000000;2;178;3.1408044000;0.0002509089
10000000;2;185;3.1422956000;0.0002237548
10000000;2;194;3.1412408000;0.0001119985
10000000;2;186;3.1410328000;0.0001782069
10000000;2;181;3.1406004000;0.0003158441
10000000;2;181;3.1416280000;0.0000112511
10000000;2;176;3.1423636000;0.0002453999
10000000;3;129;3.1419556000;0.0001155294
10000000;3;124;3.1419504000;0.0001138742
10000000;3;129;3.1417440000;0.0000481751
10000000;3;124;3.1417752000;0.0000581063
10000000;3;129;3.1414376000;0.0000493551
10000000;3;129;3.1411436000;0.0001429382
10000000;3;130;3.1419728000;0.0001210044
10000000;3;127;3.1414704000;0.0000389145
10000000;3;132;3.1425392000;0.0003012951
10000000;3;132;3.1417752000;0.0000581063
10000000;3;123;3.1417324000;0.0000444827
10000000;3;132;3.1412908000;0.0000960830
10000000;3;121;3.1425756000;0.0003128816
10000000;3;124;3.1418536000;0.0000830618
10000000;3;133;3.1406060000;0.0003140616
10000000;4;110;3.1408904000;0.0002235343
10000000;4;109;3.1419016000;0.0000983407
10000000;4;108;3.1405288000;0.0003386351
10000000;4;110;3.1425440000;0.0003028230
10000000;4;107;3.1415304000;0.0000198159
10000000;4;111;3.1416244000;0.0000101052
10000000;4;111;3.1416924000;0.0000317503
10000000;4;110;3.1419244000;0.0001055982
10000000;4;108;3.1423524000;0.0002418348
10000000;4;108;3.1410536000;0.0001715861
10000000;4;108;3.1413384000;0.0000809314
10000000;4;110;3.1413024000;0.0000923906
10000000;4;108;3.1408956000;0.0002218790
10000000;4;107;3.1410308000;0.0001788436
10000000;4;107;3.1414628000;0.0000413337
10000000;5;98;3.1423444000;0.0002392883
10000000;5;100;3.1414968000;0.0000305111
10000000;5;102;3.1419540000;0.0001150201
10000000;5;100;3.1410472000;0.0001736233
10000000;5;94;3.1414436000;0.0000474452
10000000;5;98;3.1413652000;0.0000724007
10000000;5;97;3.1412940000;0.0000950644
10000000;5;99;3.1414600000;0.0000422249
10000000;5;98;3.1410416000;0.0001754058
10000000;5;95;3.1420896000;0.0001581830
10000000;5;101;3.1413156000;0.0000881889
10000000;5;95;3.1415640000;0.0000091207
10000000;5;99;3.1414304000;0.0000516469
10000000;5;96;3.1423040000;0.0002264286
10000000;5;95;3.1423596000;0.0002441266
10000000;6;103;3.1419152000;0.0001026697
10000000;6;91;3.1417912000;0.0000631993
10000000;6;95;3.1421508000;0.0001776635
10000000;6;95;3.1423256000;0.0002333041
10000000;6;88;3.1408008000;0.0002520548
10000000;6;97;3.1406100000;0.0003127884
10000000;6;91;3.1415900000;0.0000008447
10000000;6;95;3.1425576000;0.0003071520
10000000;6;90;3.1408272000;0.0002436514
10000000;6;98;3.1404944000;0.0003495850
10000000;6;95;3.1421232000;0.0001688782
10000000;6;127;3.1419404000;0.0001106911
10000000;6;93;3.1423888000;0.0002534213
10000000;6;96;3.1421244000;0.0001692601
10000000;6;89;3.1419124000;0.0001017784
10000000;7;101;3.1413720000;0.0000702362
10000000;7;98;3.1415936000;0.0000003013
10000000;7;100;3.1410876000;0.0001607636
10000000;7;101;3.1417004000;0.0000342967
10000000;7;104;3.1409296000;0.0002110565
10000000;7;97;3.1416360000;0.0000137976
10000000;7;96;3.1416864000;0.0000298404
10000000;7;103;3.1412068000;0.0001228210
10000000;7;96;3.1423304000;0.0002348320
10000000;7;93;3.1419568000;0.0001159114
10000000;7;107;3.1412400000;0.0001122531
10000000;7;102;3.1415960000;0.0000010652
10000000;7;96;3.1415132000;0.0000252909
10000000;7;96;3.1417208000;0.0000407903
10000000;7;105;3.1427100000;0.0003556624
10000000;8;102;3.1409440000;0.0002064729
10000000;8;118;3.1398676000;0.0005491016
10000000;8;100;3.1417812000;0.0000600162
10000000;8;99;3.1421864000;0.0001889954
10000000;8;104;3.1410272000;0.0001799895
10000000;8;101;3.1422436000;0.0002072027
10000000;8;106;3.1423348000;0.0002362325
10000000;8;99;3.1408104000;0.0002489991
10000000;8;109;3.1415060000;0.0000275827
10000000;8;106;3.1405424000;0.0003343061
10000000;8;106;3.1415744000;0.0000058103
10000000;8;125;3.1412804000;0.0000993934
10000000;8;96;3.1413476000;0.0000780030
10000000;8;106;3.1410780000;0.0001638193
10000000;8;111;3.1413376000;0.0000811861
