totalIterations;numWorkers;Duree;Pi;Error
100000000;1;3310;3.1415356400;0.0000181480
100000000;1;3229;3.1415248800;0.0000215730
100000000;1;3333;3.1419518800;0.0001143453
100000000;1;3233;3.1415213200;0.0000227062
100000000;1;3232;3.1417239200;0.0000417834
100000000;1;3391;3.1413391600;0.0000806895
100000000;1;3229;3.1421019200;0.0001621045
100000000;1;3242;3.1414561600;0.0000434473
100000000;1;3349;3.1416140400;0.0000068075
100000000;1;3284;3.1416714400;0.0000250785
100000000;1;3378;3.1418458000;0.0000805790
100000000;1;3347;3.1416039600;0.0000035989
100000000;1;3289;3.1416506800;0.0000184704
100000000;1;3274;3.1415118000;0.0000257365
100000000;1;3276;3.1416873200;0.0000301333
200000000;2;3310;3.1414517800;0.0000448415
200000000;2;3304;3.1414907800;0.0000324274
200000000;2;3424;3.1416706800;0.0000248366
200000000;2;3339;3.1416884800;0.0000305025
200000000;2;3306;3.1416619200;0.0000220482
200000000;2;3304;3.1416979800;0.0000335264
200000000;2;3313;3.1415594000;0.0000105849
200000000;2;3515;3.1415615400;0.0000099038
200000000;2;3287;3.1416247600;0.0000102198
200000000;2;3300;3.1414309800;0.0000514623
200000000;2;3291;3.1414529200;0.0000444786
200000000;2;3287;3.1414797400;0.0000359415
200000000;2;3301;3.1416048000;0.0000038663
200000000;2;3293;3.1417578200;0.0000525741
200000000;2;3329;3.1415036800;0.0000283212
300000000;3;3327;3.1415956933;0.0000009676
300000000;3;3505;3.1415412400;0.0000163655
300000000;3;3311;3.1415735867;0.0000060692
300000000;3;3360;3.1416138133;0.0000067354
300000000;3;3352;3.1416781467;0.0000272133
300000000;3;3305;3.1415733600;0.0000061413
300000000;3;3360;3.1416436533;0.0000162337
300000000;3;3639;3.1415386533;0.0000171888
300000000;3;3401;3.1416151200;0.0000071513
300000000;3;3365;3.1414454533;0.0000468553
300000000;3;3369;3.1416064533;0.0000043926
300000000;3;3755;3.1415066267;0.0000273832
300000000;3;3581;3.1415641600;0.0000090698
300000000;3;3504;3.1414148267;0.0000566041
300000000;3;3401;3.1414425067;0.0000477933
400000000;4;3510;3.1417061500;0.0000361270
400000000;4;3700;3.1416803600;0.0000279178
400000000;4;3755;3.1416300000;0.0000118877
400000000;4;4000;3.1415732900;0.0000061636
400000000;4;3632;3.1416956100;0.0000327720
400000000;4;3582;3.1416111300;0.0000058812
400000000;4;3425;3.1414756100;0.0000372561
400000000;4;3485;3.1414897800;0.0000327457
400000000;4;3820;3.1414672500;0.0000399172
400000000;4;3835;3.1416995400;0.0000340230
400000000;4;3412;3.1417586100;0.0000528256
400000000;4;3496;3.1417062600;0.0000361620
400000000;4;3494;3.1415614500;0.0000099324
400000000;4;3535;3.1416456700;0.0000168756
400000000;4;3972;3.1415234000;0.0000220441
500000000;5;3771;3.1415405120;0.0000165972
500000000;5;3902;3.1416095520;0.0000053789
500000000;5;3966;3.1414603200;0.0000421231
500000000;5;3730;3.1415506960;0.0000133555
500000000;5;3794;3.1415510080;0.0000132562
500000000;5;3911;3.1416119760;0.0000061505
500000000;5;3816;3.1416060720;0.0000042712
500000000;5;3418;3.1415353040;0.0000182549
500000000;5;3402;3.1415680480;0.0000078322
500000000;5;3982;3.1416024320;0.0000031126
500000000;5;3646;3.1415698320;0.0000072643
500000000;5;3940;3.1416430960;0.0000160563
500000000;5;4471;3.1415911200;0.0000004882
500000000;5;3950;3.1415638240;0.0000091767
500000000;5;3489;3.1415515520;0.0000130830
600000000;6;3659;3.1415264800;0.0000210637
600000000;6;3577;3.1416049267;0.0000039066
600000000;6;3560;3.1416928867;0.0000319052
600000000;6;4138;3.1415744933;0.0000057806
600000000;6;3792;3.1415825667;0.0000032108
600000000;6;4111;3.1415905933;0.0000006558
600000000;6;3661;3.1415283133;0.0000204801
600000000;6;3998;3.1416986200;0.0000337302
600000000;6;3965;3.1416686133;0.0000241787
600000000;6;3608;3.1416047133;0.0000038387
600000000;6;3834;3.1416773733;0.0000269671
600000000;6;3884;3.1415665800;0.0000082995
600000000;6;4213;3.1416457667;0.0000169064
600000000;6;3752;3.1417137333;0.0000385409
600000000;6;3549;3.1417396733;0.0000467978
700000000;7;4796;3.1416577543;0.0000207222
700000000;7;4759;3.1414861943;0.0000338870
700000000;7;4809;3.1415087143;0.0000267187
700000000;7;4557;3.1415922286;0.0000001353
700000000;7;4783;3.1415771029;0.0000049500
700000000;7;4985;3.1416006400;0.0000025422
700000000;7;4623;3.1415499200;0.0000136025
700000000;7;4434;3.1416290171;0.0000115749
700000000;7;3971;3.1415032971;0.0000284430
700000000;7;4374;3.1415320914;0.0000192775
700000000;7;4900;3.1415689543;0.0000075437
700000000;7;4424;3.1415827943;0.0000031383
700000000;7;4854;3.1417447429;0.0000484115
700000000;7;4304;3.1415556343;0.0000117836
700000000;7;5071;3.1416002914;0.0000024312
800000000;8;5259;3.1414544950;0.0000439772
800000000;8;4315;3.1415313150;0.0000195247
800000000;8;4397;3.1416605450;0.0000216105
800000000;8;5195;3.1415915850;0.0000003401
800000000;8;4942;3.1416052350;0.0000040048
800000000;8;5034;3.1416192650;0.0000084707
800000000;8;4977;3.1416850750;0.0000294186
800000000;8;5010;3.1416875150;0.0000301953
800000000;8;4275;3.1415691600;0.0000074782
800000000;8;4066;3.1416120450;0.0000061725
800000000;8;5092;3.1415981950;0.0000017639
800000000;8;4283;3.1416159350;0.0000074107
800000000;8;4628;3.1415104650;0.0000261614
800000000;8;4240;3.1415318000;0.0000193703
800000000;8;5330;3.1415870050;0.0000017980
